pcrplate_skirted_riser40,rewiringstrains,liquidtype,vol,volunit,conc,concunit
A1,rpoH,dna,50,ul,121,ng/ul
A2,rpoS,dna,50,ul,202,ng/ul
A3,araC,dna,50,ul,81,ng/ul
A4,malT,dna,50,ul,358,ng/ul
A5,ihfA_B,dna,50,ul,300,ng/ul
B1,arcA,dna,50,ul,270,ng/ul
B2,appY,dna,50,ul,176,ng/ul
B4,fis,dna,50,ul,228,ng/ul
B5,fnr,dna,50,ul,225,ng/ul
C1,rpoE,dna,50,ul,87,ng/ul
C2,hns,dna,50,ul,283,ng/ul
C3,crp,dna,50,ul,274,ng/ul
C4,ompR,dna,50,ul,200,ng/ul
C5,flhDC,dna,50,ul,193,ng/ul
D1,rpoD,dna,50,ul,85,ng/ul
D2,LRP,dna,50,ul,77,ng/ul
D3,MgrB,dna,50,ul,171,ng/ul
D4,BaeR,dna,50,ul,253,ng/ul
D5,CsgD,dna,50,ul,382,ng/ul
E1,cpxR,dna,50,ul,260,ng/ul
E2,FabR,dna,50,ul,207,ng/ul
E3,SdiA,dna,50,ul,192,ng/ul
E4,PgrR,dna,50,ul,72,ng/ul
E5,EnvY,dna,50,ul,90,ng/ul
F1,FadR,dna,50,ul,302,ng/ul
F2,rcsA,dna,50,ul,358,ng/ul
F3,MurR,dna,50,ul,314,ng/ul
F4,BolA,dna,50,ul,320,ng/ul
F5,DcuR,dna,50,ul,212,ng/ul
G1,HipB,dna,50,ul,202,ng/ul
G2,RcdA,dna,50,ul,74,ng/ul
G3,GreB,dna,50,ul,100,ng/ul
G4,GreA,dna,50,ul,185,ng/ul
G5,rpsD,dna,50,ul,283,ng/ul
H1,oxyR,dna,50,ul,301,ng/ul
H2,IclR,dna,50,ul,296,ng/ul
H3,Crl,dna,50,ul,216,ng/ul
H4,hha,dna,50,ul,225,ng/ul
H5,rpoN,dna,50,ul,65,ng/ul
A6,PhoA,dna,50,ul,100,ng/ul
B6,water,water,200,ul,0,ng/ul